unique_id,team_name,position,value,pred_Naive,pred_LGBMRegressor_no_exog,pred_LGBMRegressor_with_exog,pred_LSTMWithReLU,pred_season,picked_Naive,captain_Naive,first_xi_Naive,season,picked_time,picked_LGBMRegressor_no_exog,captain_LGBMRegressor_no_exog,first_xi_LGBMRegressor_no_exog,picked_LGBMRegressor_with_exog,captain_LGBMRegressor_with_exog,first_xi_LGBMRegressor_with_exog,picked_LSTMWithReLU,captain_LSTMWithReLU,first_xi_LSTMWithReLU
Cole Palmer,Chelsea,MID,105.0,17.0,4.2393821665350835,7.045301711560169,6.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,0.0,0,,1.0,1,1.0,1.0,0,1.0
Cristian Romero,Tottenham,DEF,50.0,14.0,4.124902153292378,3.853338488724221,1.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,1.0,0,0.0,1.0,0,0.0,0.0,0,
David Raya Martin,Arsenal,GK,55.0,10.0,4.417974915653504,3.5543217484161542,3.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,1.0,0,1.0,0.0,0,,0.0,0,
Erling Haaland,Manchester City,FWD,150.0,17.0,4.43125149720802,4.417842066479785,5.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Heung-Min Son,Tottenham,MID,100.0,16.0,5.305254992044608,4.880783301223413,3.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,1.0,0,1.0,0.0,0,,0.0,0,
Luis Díaz,Liverpool,MID,75.0,14.0,4.30318383452221,4.661354163124401,3.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Max Kilman,West Ham,DEF,45.0,12.0,2.8628158883835098,2.888796600808027,1.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Micky van de Ven,Tottenham,DEF,45.0,9.0,3.5607346746613793,3.2558434688978997,1.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,0.0,0,,1.0,0,0.0,0.0,0,
Nicolas Jackson,Chelsea,FWD,75.0,10.0,3.81203068030991,4.22518110143732,2.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,0.0,0,,1.0,0,0.0,0.0,0,
Noni Madueke,Chelsea,MID,64.0,20.0,3.9355241272016577,4.136537201779388,1.0,25.0,1.0,1,1.0,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Thomas Partey,Arsenal,MID,50.0,11.0,2.428113166596152,2.6111861025930336,0.0,25.0,1.0,0,1.0,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Danny Welbeck,Brighton,FWD,55.0,9.0,4.782075995821564,4.601232728521133,2.0,25.0,1.0,0,0.0,25,2024-08-29 14:30:28.947300,1.0,0,0.0,1.0,0,1.0,1.0,0,0.0
Matz Sels,Nottingham,GK,45.0,6.0,3.0901642664324016,3.0951188374406082,2.0,25.0,1.0,0,0.0,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ola Aina,Nottingham,DEF,45.0,9.0,3.1055681624812417,2.5106268039057427,1.0,25.0,1.0,0,0.0,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Wout Faes,Leicester,DEF,40.0,7.0,2.7136724806109296,3.168822581462986,1.0,25.0,1.0,0,0.0,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Aaron Cresswell,West Ham,DEF,40.0,1.0,0.8602011913674353,1.263689961665091,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Aaron Hickey,Brentford,DEF,45.0,0.0,0.6133263108862607,0.4966289894976084,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Aaron Ramsdale,Arsenal,GK,45.0,0.0,0.5041450368387166,0.6612465691476404,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Aaron Wan-Bissaka,West Ham,DEF,45.0,1.0,1.005397399333941,1.1008972686594583,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Abdoulaye Doucouré,Everton,MID,55.0,1.0,2.412634404146473,2.5460748820285537,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Abdul Fatawu,Leicester,MID,55.0,2.0,4.2102102915736515,3.2838831483450392,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Adam Armstrong,Southampton,FWD,55.0,1.0,2.3303344430148796,1.3734156355514602,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Adam Lallana,Southampton,MID,50.0,0.0,0.33358705975262,0.9502907429164884,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Adam Smith,Bournemouth,DEF,45.0,1.0,2.345773107185633,2.137038560989798,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Adam Webster,Brighton,DEF,45.0,0.0,1.152828899857798,1.1640556962963549,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Adam Wharton,Crystal Palace,MID,50.0,2.0,3.0033493588906004,3.126299498296597,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Adama Traoré,Fulham,MID,50.0,5.0,2.564695366847216,2.6259189776161294,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Adrian Mazilu,Brighton,MID,45.0,0.0,0.33358705975262,0.3260765941488744,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alejandro Garnacho,Manchester Utd,MID,65.0,1.0,3.3841417179720157,3.302043442990225,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alejo Véliz,Tottenham,FWD,50.0,0.0,0.4807310613962116,0.5566588420757533,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alex Iwobi,Fulham,MID,55.0,8.0,3.1088981584669475,2.930476020448001,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alex McCarthy,Southampton,GK,45.0,4.0,2.840854527947529,3.5791575050612847,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,1.0,0,1.0
Alex Mighten,Nottingham,MID,45.0,0.0,0.3192268438666069,0.3770177193490606,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alex Murphy,Newcastle,DEF,40.0,0.0,0.3670761401035764,0.44228923055584196,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alex Paulsen,Bournemouth,GK,40.0,0.0,0.33358705975262,0.39628346549848,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alex Scott,Bournemouth,MID,50.0,1.0,2.212023956402065,1.9327741359004713,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alexander Isak,Newcastle,FWD,85.0,2.0,5.138315330079761,5.192986073511285,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,1.0,0,1.0,0.0,0,
Alexis Mac Allister,Liverpool,MID,65.0,3.0,3.4257342375630553,3.6606708418799,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alfie Devine,Tottenham,MID,45.0,0.0,0.33358705975262,0.3646163375218501,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alfie Gilchrist,Chelsea,DEF,40.0,0.0,0.4278003036887816,0.4395311127456514,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alfie Whiteman,Tottenham,GK,40.0,0.0,0.3192268438666069,0.38309106574119556,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ali Al-Hamadi,Ipswich,FWD,50.0,0.0,1.0621625833065385,1.247942384243486,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alisson Ramses Becker,Liverpool,GK,55.0,6.0,3.259600719610742,2.718219866764142,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Alphonse Areola,West Ham,GK,45.0,6.0,2.819779479434947,2.6072138641105402,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Altay Bayindir,Manchester Utd,GK,45.0,0.0,0.3192268438666069,0.38006871610966886,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Amad Diallo,Manchester Utd,MID,50.0,6.0,2.9288344661100663,2.677126479988875,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Amadou Onana,Aston Villa,MID,50.0,1.0,4.814250646702599,4.300527106728954,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,1.0,0,1.0,0.0,0,,0.0,0,
Amario Cozier-Duberry,Brighton,MID,45.0,0.0,0.33358705975262,0.3260765941488744,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Andreas Hoelgebaum Pereira,Fulham,MID,55.0,2.0,3.455091708003037,3.424850380180143,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Andrew Moran,Brighton,MID,50.0,0.0,0.33358705975262,0.3260765941488744,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Andrew Omobamidele,Nottingham,DEF,45.0,0.0,0.6855604253289003,0.4765021562084436,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Andrew Robertson,Liverpool,DEF,60.0,6.0,3.5234276770218305,2.815669739396353,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Andrey Nascimento dos Santos,Chelsea,MID,45.0,0.0,0.3192268438666069,0.3627325626493642,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
André Onana,Manchester Utd,GK,50.0,1.0,3.2054350395045166,2.891783555996783,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Andy Irving,West Ham,MID,50.0,0.0,0.33358705975262,0.382528682712642,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Anthony Elanga,Nottingham,MID,55.0,3.0,3.137757753669069,2.7139660991958343,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Anthony Gordon,Newcastle,MID,75.0,10.0,4.146373409722408,4.731402465901002,4.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,1.0,0,1.0
Antoine Semenyo,Bournemouth,MID,55.0,5.0,3.4063052867893804,3.2602699969144138,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Antonee Robinson,Fulham,DEF,45.0,7.0,3.65816827773133,2.791474168182622,2.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,1.0,0,0.0
Antony Matheus dos Santos,Manchester Utd,MID,59.0,1.0,1.588739794242026,1.6093900008730064,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Archie Gray,Tottenham,MID,50.0,1.0,1.8488002665997638,1.6494650008391103,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Arijanet Muric,Ipswich,GK,45.0,0.0,0.33358705975262,0.8804510510332925,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Armando Broja,Chelsea,FWD,55.0,0.0,1.294288065836637,1.3387445966675362,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Armel Bella-Kotchap,Southampton,DEF,40.0,0.0,0.33358705975262,0.9065277892854537,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ashley Phillips,Tottenham,DEF,40.0,0.0,0.3192268438666069,0.3789975196297826,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ashley Young,Everton,DEF,45.0,0.0,1.7556217461158423,1.4569553548061436,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Asmir Begovic,Everton,GK,40.0,0.0,0.16649832554656965,1.248595001521847,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Axel Disasi,Chelsea,DEF,45.0,0.0,0.924324796693365,0.9468260094687214,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Axel Tuanzebe,Ipswich,DEF,40.0,0.0,1.0621625833065385,2.3684757909109817,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Bart Verbruggen,Brighton,GK,45.0,0.0,1.415647514447237,1.5366009036097519,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ben Brereton Díaz,Southampton,MID,55.0,2.0,1.648785139200938,2.7619501382893357,1.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ben Chilwell,Chelsea,DEF,50.0,0.0,0.48516891136488416,0.4162056841540676,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ben Davies,Tottenham,DEF,45.0,0.0,0.590598092070872,0.5375150412784067,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ben Doak,Liverpool,MID,45.0,0.0,0.3192268438666069,0.4232246198970977,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ben Johnson,Ipswich,DEF,40.0,3.0,2.2790162274046057,2.6957464690571147,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ben Mee,Brentford,DEF,45.0,0.0,1.0892230087337138,0.9507945934473251,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Ben Nelson,Leicester,DEF,40.0,0.0,0.33358705975262,0.9065277892854537,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Benicio Baker-Boaitey,Brighton,MID,45.0,0.0,0.4029681669552724,0.3451594423266087,0.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,0.0,0,
Benjamin White,Arsenal,DEF,65.0,6.0,3.8724988311892923,3.565881320784109,5.0,25.0,0.0,0,,25,2024-08-29 14:30:28.947300,0.0,0,,0.0,0,,1.0,0,1.0
